"11009る 祇︽秖舦基厨筍计"
"ら戳","祇︽秖舦基厨筍计",
"110/09/01","34,498.84",
"110/09/02","34,197.41",
"110/09/03","34,587.69",
"110/09/06","34,557.70",
"110/09/07","34,439.09",
"110/09/08","34,133.77",
"110/09/09","34,211.57",
"110/09/10","34,549.54",
"110/09/13","34,494.35",
"110/09/14","34,473.06",
"110/09/15","34,315.08",
"110/09/16","34,216.86",
"110/09/17","34,214.17",
"110/09/22","33,520.11",
"110/09/23","33,822.63",
"110/09/24","34,184.91",
"110/09/27","34,291.01",
"110/09/28","34,028.94",
"110/09/29","33,384.01",
"110/09/30","33,541.12",
